"","x"
"235",1.02482447100653
"236",0.949951726684277
"237",0.983093640682119
"238",1.01701711478571
"239",0.93237285898691
"240",0.910891554646947
"241",0.901569154317805
"242",0.940396105675373
"243",1.03490231023339
"244",1.01465869825874
"245",1.14962531458963
"246",1.10821717273808
"247",1.16058271368999
"248",1.02834560940563
"249",0.851204756119298
"250",0.879657834047703
"251",1.04867999305673
"252",1.42475357914483
"253",1.21066941638543
"254",1.07444586668212
"255",0.771131211486584
"256",0.744680080044346
"257",0.691016249015943
"258",0.977420309627527
"259",0.95150061693606
"260",1.04572407742626
"261",1.07664304227005
"262",1.07664304227005
"263",1.07664304227005
"264",1.1201003919555
"265",0.984073529676054
"266",1.12571816068236
"267",1.08818056530782
"268",1.04394463791209
"269",1.05158547375321
"270",1.2717538245044
"271",1.21565736999039
"272",1.21565736999039
"273",0.927834456337232
"274",0.884866594236987
"275",0.967113845453331
"276",1.21833957000897
"277",1.30219800334834
"278",1.18900222774031
"279",1.18900222774031
"280",1.10328391898704
"281",1.10328391898704
"282",1.16339118347455
"283",1.16339118347455
"284",1.44130501883173
"285",1.13140858262177
"286",1.01599289235663
"287",0.975244984802405
"288",0.975316287765303
"289",0.822134536605361
"290",0.826860225293287
"291",0.846171987461569
"292",0.829273147327426
"293",0.829273147327426
"294",0.836232870814447
"295",0.849210118203306
"296",0.708442052630483
"297",0.880407829040319
"298",0.880407829040319
"299",0.84961062192843
"300",0.74740428572058
"301",0.615590117549899
"302",0.41052017488891
"303",0.39071513004107
"304",0.710874037345941
"305",0.611021913856866
"306",0.7727904445826
"307",0.944007727458999
"308",0.761443099250527
"309",0.6646106075493
"310",0.601939356464949
"311",0.528580102326345
"312",0.563643045608194
"313",0.690387682665059
"314",0.690387682665059
"315",0.759763363624775
"316",0.789730241286879
"317",0.725245683550148
"318",0.748148655058083
"319",0.773132403695139
"320",0.851535630838096
"321",0.851535630838096
"322",0.744780766389716
"323",0.744780766389716
"324",0.858578352630522
"325",1.22407571838672
"326",1.143513064103
"327",1.143513064103
"328",1.07517926070813
"329",0.98779272121674
"330",0.98779272121674
"331",0.855022210459893
"332",0.484116943092088
"333",0.56201028990041
"334",0.429955408563511
"335",0.462649384572014
"336",0.617727853898722
"337",0.56796402881149
"338",0.56796402881149
"339",0.424245913175774
"340",0.397276514132458
"341",0.303760869493856
"342",0.295532610952231
"343",0.537670735499908
"344",0.776866076993823
"345",0.866417775290552
"346",0.827091507889187
"347",0.827091507889187
"348",0.827091507889187
"349",0.97954580617631
"350",0.900200444755091
"351",0.800478828519175
"352",0.876679800974065
"353",1.22128339088958
"354",1.22128339088958
"355",1.18196381267385
"356",1.18196381267385
"357",1.16275811320991
"358",1.16275811320991
"359",1.03426586559683
"360",1.14348288862694
"361",1.14348288862694
"362",0.926125987805675
"363",0.926125987805675
"364",0.926125987805675
"365",0.926125987805675
"366",0.875228192338558
"367",0.946120857520314
"368",0.869274928023252
"369",0.869274928023252
"370",0.726337020866577
"371",0.566899794541983
"372",0.875077240525767
"373",0.746941327612106
"374",0.525555384448318
"375",0.597273737656484
"376",0.659775479892491
"377",0.659775479892491
"378",0.659775479892491
"379",0.772553321204479
"380",0.774774780437011
"381",0.770498442242722
"382",0.974458955358089
"383",1.11018611419026
"384",1.17910589620918
"385",1.29312420223789
"386",1.29312420223789
"387",1.66438173564628
"388",1.66438173564628
"389",1.70969361114741
"390",1.70969361114741
"391",1.70969361114741
"392",1.70969361114741
"393",1.70969361114741
"394",1.70969361114741
"395",1.70969361114741
"396",1.74463637745365
"397",1.4729537937552
"398",1.4729537937552
"399",1.4729537937552
"400",1.15924371974487
"401",1.15924371974487
"402",1.11666926189668
"403",1.07648454572358
"404",1.05022279075241
"405",0.86477028146686
"406",0.838422446472459
"407",0.838422446472459
"408",0.83365089212991
"409",0.93295856043831
"410",0.93295856043831
"411",0.838421561841534
"412",0.964327580731612
"413",0.964327580731612
"414",0.964327580731612
"415",0.937550764621278
"416",1.07678917079494
"417",1.07678917079494
"418",0.96201090852834
"419",0.96201090852834
"420",0.760090836861835
"421",0.775024134902512
"422",0.775024134902512
"423",0.691662485731713
"424",0.762486739235962
"425",0.68599865113294
"426",0.680181734316968
"427",1.11696088083168
"428",1.09401504862873
"429",1.09401504862873
"430",1.0327780169934
"431",0.989083491210646
"432",0.89571662241115
"433",0.882020975663151
"434",0.821023079305808
"435",0.809929923237832
"436",0.809929923237832
"437",1.14429353323233
"438",1.09674890066023
"439",1.26826448567769
"440",1.17860441062762
"441",1.20658986782272
"442",1.17533508787855
"443",1.17533508787855
"444",1.24367687309058
"445",1.24367687309058
"446",1.24367687309058
"447",1.34511154917251
"448",1.19656724452627
